Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 128GB SSD NVIDIA MX110 DOS Silver;43140 сом;"Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 128GB SSD NVIDIA MX110 DOS SilverОперационная система DOS; 2х-ядерный процессор 2.3 Ггц; дискретная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память SSD 128 Гб; вес от 1.85 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iwl-intel-core-i3-7020u-4gb-ddr4-128gb-ssd-nvidia-mx110-dos-silver
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 4GB DDR 128GB SSD AMD Radeon Graphics HD черный;37910 сом;"Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 4GB DDR 128GB SSD AMD Radeon Graphics HD черныйТип: ноутбук; Процессор:AMD Ryzen 3 3250U; Разрешение экрана: 1366х768 HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l3-15ada05-amd-ryzen-3-3250u-4gb-ddr-128gb-ssd-amd-radeon-graphics-hd-chernyy
Ноутбук Asus X515J Intel Core i3-1005G1 4GB DDR4 256GB SSD DOS Slate Grey + Windows 10;41060 сом;"Ноутбук Asus X515J Intel Core i3-1005G1 4GB DDR4 256GB SSD DOS Slate Grey + Windows 10Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-4gb-ddr4-256gb-ssd-dos-slate-grey-windows-10
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD W10 Black;48880 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD W10 BlackОперационная система Windows 10 Pro; пакет офисных программ MS Office 2019; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4;...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-256gb-ssd-w10-black
Ноутбук Lenovo Legion 5 15ARH05H AMD Ryzen 7-4800H 12GB DDR4 512GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черный;88280 сом;"Ноутбук Lenovo Legion 5 15ARH05H AMD Ryzen 7-4800H 12GB DDR4 512GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 7-4800H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GeForce GTX 1650; Объем оперативной памяти: 12 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 2.3 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-legion-5-15arh05h-amd-ryzen-7-4800h-12gb-ddr4-512gb-ssd-nvidia-geforce-gtx-1650-4gb-fhd-dos-chernyy
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 128GB SSD NVIDIA MX110 DOS Silver;44450 сом;"Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 128GB SSD NVIDIA MX110 DOS SilverОперационная система DOS; 2х-ядерный процессор 2.3 Ггц; дискретная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память SSD 128 Гб; вес от 1.85 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iwl-intel-core-i3-7020u-8gb-ddr4-128gb-ssd-nvidia-mx110-dos-silver
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 4GB DDR 256GB SSD AMD Radeon Graphics HD черный;38780 сом;"Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 4GB DDR 256GB SSD AMD Radeon Graphics HD черныйТип: ноутбук; Процессор:AMD Ryzen 3 3250U; Разрешение экрана: 1366х768 HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l3-15ada05-amd-ryzen-3-3250u-4gb-ddr-256gb-ssd-amd-radeon-graphics-hd-chernyy
Ноутбук Asus X515MA Intel Celeron N4120 4GB DDR4 500GB HDD FHD W10 Grey;30060 сом;"Ноутбук Asus X515MA Intel Celeron N4120 4GB DDR4 500GB HDD FHD W10 GreyОперационная система Windows 10; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель HDD 500 Гб; DVDRW нет; вес от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-celeron-n4120-4gb-ddr4-500gb-hdd-fhd-w10-grey
Ноутбук Asus X515J Intel Core i3-1005G1 8GB DDR4 256GB SSD DOS Slate Grey + Windows 10;42620 сом;"Ноутбук Asus X515J Intel Core i3-1005G1 8GB DDR4 256GB SSD DOS Slate Grey + Windows 10Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-8gb-ddr4-256gb-ssd-dos-slate-grey-windows-10
Ноутбук Asus ROG Strix G15 AMD Ryzen 7-4800H 16GB DDR 512GB SSD NVIDIA GTX1650 4GB FHD DOS серый;87330 сом;"Ноутбук Asus ROG Strix G15 AMD Ryzen 7-4800H 16GB DDR 512GB SSD NVIDIA GTX1650 4GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 7-4800H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GTX1650; Объем оперативной памяти: 16 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-rog-strix-g15-amd-ryzen-7-4800h-16gb-ddr-512gb-ssd-nvidia-gtx1650-4gb-fhd-dos-seryy
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 256GB SSD W10 Black;51490 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 256GB SSD W10 BlackОперационная система Windows 10 Pro; пакет офисных программ MS Office 2019; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 12 GB DDR4;...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-12gb-ddr4-1000gb-hdd-256gb-ssd-w10-black
Ноутбук Asus VivoBook S551LA-CJ111H 4Gb DDR3 750Gb HDD + 24Gb SSD;52710 сом;"Ноутбук Asus VivoBook S551LA-CJ111H 4Gb DDR3 750Gb HDD + 24Gb SSDОперационная система Windows 8.1; процессор Intel Core i5 1600 MHz (2/4); видеоадаптер Intel Graphics; диагональ экрана 15.6"" TN 1366x768; оперативная память 4 GB DDR3L; накопитель SSD 24 GB + HDD...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-s551la-cj111h-4gb-ddr3-750gb-hdd-24gb-ssd
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTL2) золотой;92460 сом;"Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTL2) золотойпроцессор: Intel Core i3 1000NG4 (1100 МГц), объем оперативной памяти: 8 ГБ, накопитель: 256 ГБ, встроенная видеокарта: Intel Iris Plus Graphics, экран: 13.3"" (2560x1600), IPS матрица, время работы от аккумулятора:...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-apple-macbook-air-13-displey-retina-s-tekhnologiey-true-tone-early-2020-mwtl2-zolotoy
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 256GB SSD NVIDIA MX110 DOS Silver;44450 сом;"Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 256GB SSD NVIDIA MX110 DOS SilverОперационная система DOS; 2х-ядерный процессор 2.3 Ггц; дискретная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память SSD 256 Гб; вес от 1.85 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iwl-intel-core-i3-7020u-4gb-ddr4-256gb-ssd-nvidia-mx110-dos-silver
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 128GB SSD AMD Radeon Graphics HD черный;40530 сом;"Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 128GB SSD AMD Radeon Graphics HD черныйТип: ноутбук; Процессор:AMD Ryzen 3 3250U; Разрешение экрана: 1366х768 HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l3-15ada05-amd-ryzen-3-3250u-8gb-ddr-128gb-ssd-amd-radeon-graphics-hd-chernyy
Ноутбук Asus X515J Intel Core i3-1005G1 12GB DDR4 256GB SSD DOS Slate Grey + Windows 10;44360 сом;"Ноутбук Asus X515J Intel Core i3-1005G1 12GB DDR4 256GB SSD DOS Slate Grey + Windows 10Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 12 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-12gb-ddr4-256gb-ssd-dos-slate-grey-windows-10
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD W10 Black;51230 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD W10 BlackОперационная система Windows 10 Pro; пакет офисных программ MS Office 2019; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4;...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-512gb-ssd-w10-black
Ноутбук Lenovo Legion 5 15ARH05H AMD Ryzen 7-4800H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черный;90020 сом;"Ноутбук Lenovo Legion 5 15ARH05H AMD Ryzen 7-4800H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 7-4800H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GeForce GTX 1650; Объем оперативной памяти: 16 Gb DDR4; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-legion-5-15arh05h-amd-ryzen-7-4800h-16gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-geforce-gtx-1650-4gb-fhd-dos-chernyy
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTJ2) серый космос;92460 сом;"Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTJ2) серый космоспроцессор: Intel Core i3 1000NG4 (1100 МГц), объем оперативной памяти: 8 ГБ, накопитель: 256 ГБ, встроенная видеокарта: Intel Iris Plus Graphics, экран: 13.3"" (2560x1600), IPS матрица, время работы от аккумулятора:...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-apple-macbook-air-13-displey-retina-s-tekhnologiey-true-tone-early-2020-mwtj2-seryy-kosmos
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 256GB SSD NVIDIA MX110 DOS Silver;45750 сом;"Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 256GB SSD NVIDIA MX110 DOS SilverОперационная система DOS; 2х-ядерный процессор 2.3 Ггц; дискретная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память SSD 256 Гб; вес от 1.85 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iwl-intel-core-i3-7020u-8gb-ddr4-256gb-ssd-nvidia-mx110-dos-silver
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 256GB SSD AMD Radeon Graphics HD черный;41400 сом;"Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 256GB SSD AMD Radeon Graphics HD черныйТип: ноутбук; Процессор:AMD Ryzen 3 3250U; Разрешение экрана: 1366х768 HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l3-15ada05-amd-ryzen-3-3250u-8gb-ddr-256gb-ssd-amd-radeon-graphics-hd-chernyy
Ноутбук Asus X515J Intel Core i3-1005G1 20GB DDR4 256GB SSD DOS Slate Grey + Windows 10;47840 сом;"Ноутбук Asus X515J Intel Core i3-1005G1 20GB DDR4 256GB SSD DOS Slate Grey + Windows 10Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 20 GB DDR4; накопитель SSD 256 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-20gb-ddr4-256gb-ssd-dos-slate-grey-windows-10
Ноутбук Asus X515M Intel Celeron N4020 4GB DDR4 1000GB HDD DOS Grey;30770 сом;"Ноутбук Asus X515M Intel Celeron N4020 4GB DDR4 1000GB HDD DOS GreyОперационная система DOS; процессор Intel Celeron (2/2) 1100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB; DVDRW нет; вес от 1.8...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515m-intel-celeron-n4020-4gb-ddr4-1000gb-hdd-dos-grey
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 512GB SSD W10 Black;53840 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 512GB SSD W10 BlackОперационная система Windows 10 Pro; пакет офисных программ MS Office 2019; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 12 GB DDR4;...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-12gb-ddr4-1000gb-hdd-512gb-ssd-w10-black
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTK2) серебристый;92460 сом;"Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MWTK2) серебристыйпроцессор: Intel Core i3 1000NG4 (1100 МГц), объем оперативной памяти: 8 ГБ, накопитель: 256 ГБ, встроенная видеокарта: Intel Iris Plus Graphics, экран: 13.3"" (2560x1600), IPS матрица, время работы от аккумулятора:...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-apple-macbook-air-13-displey-retina-s-tekhnologiey-true-tone-early-2020-mwtk2-serebristyy
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS Silver;44880 сом;"Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 4GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS SilverОперационная система DOS; 2х-ядерный процессор 2.3 Ггц; дискретная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память HDD 500 Гб + SSD 128 Гб; вес от 1.85...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iwl-intel-core-i3-7020u-4gb-ddr4-500gb-hdd-128gb-ssd-nvidia-mx110-dos-silver
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 120GB SSD Intel HD Graphics HD черный;34860 сом;"Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 120GB SSD Intel HD Graphics HD черныйТип: ноутбук; Процессор: Intel Celeron 4205U; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 120 Gb; Вес: от 1,8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15iwl-intel-4205u-4gb-120gb-ssd-intel-hd-graphics-hd-chernyy
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 512GB SSD AMD Radeon Graphics HD черный;44880 сом;"Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 3 3250U 8GB DDR 512GB SSD AMD Radeon Graphics HD черныйТип: ноутбук; Процессор:AMD Ryzen 3 3250U; Разрешение экрана: 1366х768 HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l3-15ada05-amd-ryzen-3-3250u-8gb-ddr-512gb-ssd-amd-radeon-graphics-hd-chernyy
Ноутбук Asus X515J Intel Core i3-1005G1 4GB DDR4 512GB SSD DOS Slate Grey;42180 сом;"Ноутбук Asus X515J Intel Core i3-1005G1 4GB DDR4 512GB SSD DOS Slate GreyОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 4 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-4gb-ddr4-512gb-ssd-dos-slate-grey
Ноутбук Asus X515M Intel Celeron N4020 8GB DDR4 1000GB HDD DOS Grey;32510 сом;"Ноутбук Asus X515M Intel Celeron N4020 8GB DDR4 1000GB HDD DOS GreyОперационная система DOS; процессор Intel Celeron (2/2) 1100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000 GB; DVDRW нет; вес от 1.8...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515m-intel-celeron-n4020-8gb-ddr4-1000gb-hdd-dos-grey
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 4GB DDR4 128GB SSD W10 Black;39230 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 4GB DDR4 128GB SSD W10 BlackОперационная система Windows 10 Pro; пакет офисных программ MS Office 2019; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4;...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-4gb-ddr4-128gb-ssd-w10-black
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MVH22) серый космос;109780 сом;"Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MVH22) серый космоспроцессор: Intel Core i5 1030NG7 (1100 МГц), объем оперативной памяти: 8 ГБ, накопитель: 512 ГБ, встроенная видеокарта: Intel Iris Plus Graphics, экран: 13.3"" (2560x1600), IPS матрица, время работы от аккумулятора:...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-apple-macbook-air-13-displey-retina-s-tekhnologiey-true-tone-early-2020-mvh22-seryy-kosmos
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS Silver;46190 сом;"Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 128GB SSD NVIDIA MX110 DOS SilverОперационная система DOS; 2х-ядерный процессор 2.3 Ггц; дискретная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 500 Гб + SSD 128 Гб; вес от 1.85...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iwl-intel-core-i3-7020u-8gb-ddr4-500gb-hdd-128gb-ssd-nvidia-mx110-dos-silver
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 1000GB HDD Intel HD Graphics HD черный;34420 сом;"Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 1000GB HDD Intel HD Graphics HD черныйТип: ноутбук; Процессор: Intel Celeron 4205U; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1,8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15iwl-intel-4205u-4gb-1000gb-hdd-intel-hd-graphics-hd-chernyy
Ноутбук Apple MacBook Pro 13 (Late 2020) Apple M1 16/256GB серебристый;144340 сом;"Ноутбук Apple MacBook Pro 13 (Late 2020) Apple M1 16/256GB серебристыйпроцессор: Apple M1, объем оперативной памяти: 16 ГБ, накопитель: SSD 256 ГБ, встроенная видеокарта: Apple graphics 8-core, экран: 13.3"" (2560x1600), IPS матрица, время работы от аккумулятора: 20 ч, операционная система:...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-apple-macbook-pro-13-late-2020-apple-m1-16-256gb-serebristyy
Ноутбук Asus X515J Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS Slate Grey;43920 сом;"Ноутбук Asus X515J Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS Slate GreyОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-8gb-ddr4-512gb-ssd-dos-slate-grey
Ноутбук Asus X515M Intel Celeron N4020 4GB DDR4 128GB SSD DOS Grey;30770 сом;"Ноутбук Asus X515M Intel Celeron N4020 4GB DDR4 128GB SSD DOS GreyОперационная система DOS; процессор Intel Celeron (2/2) 1100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от 1.8...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515m-intel-celeron-n4020-4gb-ddr4-128gb-ssd-dos-grey
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 128GB SSD W10 Black;41400 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 128GB SSD W10 BlackОперационная система Windows 10 Pro; пакет офисных программ MS Office 2019; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4;...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-8gb-ddr4-128gb-ssd-w10-black
Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MVH52) золотой;109780 сом;"Ноутбук Apple MacBook Air 13 дисплей Retina с технологией True Tone Early 2020 (MVH52) золотойпроцессор: Intel Core i5 1030NG7 (1100 МГц), объем оперативной памяти: 8 ГБ, накопитель: 512 ГБ, встроенная видеокарта: Intel Iris Plus Graphics, экран: 13.3"" (2560x1600), IPS матрица, время работы от аккумулятора:...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-apple-macbook-air-13-displey-retina-s-tekhnologiey-true-tone-early-2020-mvh52-zolotoy
Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 256GB SSD NVIDIA MX110 DOS Silver;47490 сом;"Ноутбук Lenovo Ideapad S145-15IWL Intel Core i3-7020U 8GB DDR4 500GB HDD + 256GB SSD NVIDIA MX110 DOS SilverОперационная система DOS; 2х-ядерный процессор 2.3 Ггц; дискретная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 500 Гб + SSD 256 Гб; вес от 1.85...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iwl-intel-core-i3-7020u-8gb-ddr4-500gb-hdd-256gb-ssd-nvidia-mx110-dos-silver
Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 240GB SSD Intel HD Graphics HD черный;36180 сом;"Ноутбук Lenovo Ideapad L340-15IWL Intel 4205U 4GB 240GB SSD Intel HD Graphics HD черныйТип: ноутбук; Процессор: Intel Celeron 4205U; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 240 Gb; Вес: от 1,8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15iwl-intel-4205u-4gb-240gb-ssd-intel-hd-graphics-hd-chernyy
Ноутбук Apple MacBook Pro 13 (Late 2020) Apple M1 16/256GB серый космос;144340 сом;"Ноутбук Apple MacBook Pro 13 (Late 2020) Apple M1 16/256GB серый космоспроцессор: Apple M1, объем оперативной памяти: 16 ГБ, накопитель: SSD 256 ГБ, встроенная видеокарта: Apple graphics 8-core, экран: 13.3"" (2560x1600), IPS матрица, время работы от аккумулятора: 20 ч, операционная система:...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-apple-macbook-pro-13-late-2020-apple-m1-16-256gb-seryy-kosmos
Ноутбук Asus X515J Intel Core i3-1005G1 12GB DDR4 512GB SSD DOS Slate Grey;44790 сом;"Ноутбук Asus X515J Intel Core i3-1005G1 12GB DDR4 512GB SSD DOS Slate GreyОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 12 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515j-intel-core-i3-1005g1-12gb-ddr4-512gb-ssd-dos-slate-grey
